material_thermal_conductivity,material_cost_per_kg,material_density,llm_current_cooling_type,llm_ambient_temperature,llm_thermal_output,predicted_pue,predicted_throughput_gain
50.0,1.0,7850,2,20.793926756877646,360.63109252629266,1.4758,5.4513
50.0,1.0,7850,1,24.93184948304824,527.5343611827543,1.5478,2.6832
50.0,1.0,7850,0,30.173774324497472,617.5760383784183,1.6791,1.2733
50.0,1.0,7850,2,18.572443119353185,358.211945662244,1.4816,5.4881
50.0,1.0,7850,2,29.13610877038672,682.0085363080245,1.4486,2.8825
50.0,1.0,7850,2,18.985047972168097,380.70480224977644,1.4635,5.1639
50.0,1.0,7850,1,26.986198494205077,409.5540661450875,1.5479,3.4561
50.0,1.0,7850,0,27.55759765681279,726.1158638780978,1.6591,1.083
50.0,1.0,7850,2,21.64068480647931,593.617240245888,1.4809,3.3118
50.0,1.0,7850,0,26.061950939011695,375.3346676168472,1.6587,2.0951
50.0,1.0,7850,2,20.074215717408013,730.2269861681716,1.4604,2.6922
50.0,1.0,7850,0,25.890176282682127,648.8736599670908,1.6818,1.2119
50.0,1.0,7850,1,24.607210525217063,400.1057544588407,1.552,3.5377
50.0,1.0,7850,2,19.968591170968637,565.4584585456538,1.4747,3.4767
50.0,1.0,7850,1,19.286096904825005,650.8837947453467,1.5527,2.1747
50.0,1.0,7850,2,30.479821594256595,596.8003277425212,1.4826,3.2941
50.0,1.0,7850,1,27.074229871635183,555.6792115667397,1.5507,2.5473
50.0,1.0,7850,0,19.54647745739498,569.0295174678811,1.6561,1.3819
50.0,1.0,7850,0,18.307892433887172,524.431748601468,1.6661,1.4995
50.0,1.0,7850,0,18.29018914302469,431.0664926077709,1.6747,1.8242
50.0,1.0,7850,2,18.377385685572662,429.5130985357521,1.4925,4.5771
50.0,1.0,7850,1,20.019370400991974,524.7042022815094,1.5807,2.6976
50.0,1.0,7850,1,27.374389695660994,356.18721880383407,1.581,3.9739
50.0,1.0,7850,0,26.639143916176145,712.1651941613809,1.6577,1.1042
50.0,1.0,7850,0,19.04174525770899,551.231971965345,1.668,1.4266
50.0,1.0,7850,0,18.879157513441545,738.88122109094,1.6612,1.0643
50.0,1.0,7850,0,29.50700551579473,569.0280440859422,1.6618,1.3819
50.0,1.0,7850,2,25.429898967800128,619.3717815964355,1.4803,3.174
50.0,1.0,7850,0,23.39232115745826,613.6928923961641,1.659,1.2814
50.0,1.0,7850,2,20.039226696904443,440.315004311061,1.5019,4.4648
50.0,1.0,7850,2,27.68428544620298,695.3114366999516,1.4663,2.8274
50.0,1.0,7850,1,20.862194760250468,713.9745980729476,1.5754,1.9825
50.0,1.0,7850,0,19.30326126008316,653.0052878656762,1.6605,1.2042
50.0,1.0,7850,2,22.609358477374215,474.4558145465806,1.4397,4.1435
50.0,1.0,7850,2,21.06625808545415,657.9745617619083,1.4884,2.9878
50.0,1.0,7850,0,31.31777991583685,473.2134436395458,1.6773,1.6618
50.0,1.0,7850,0,21.062654666533298,483.1240967547476,1.663,1.6277
50.0,1.0,7850,1,23.5388222060619,501.6936972940042,1.5579,2.8214
50.0,1.0,7850,2,26.162364130584614,531.2535828606472,1.4603,3.7005
50.0,1.0,7850,1,22.054953184007772,689.0365055497223,1.5652,2.0543
50.0,1.0,7850,1,26.716632334613745,574.5140115390741,1.5702,2.4637
50.0,1.0,7850,0,21.568495517093957,489.0240700963558,1.6748,1.608
50.0,1.0,7850,1,19.136012261729416,649.1220130550704,1.5465,2.1806
50.0,1.0,7850,1,29.302069633363402,515.2390235024878,1.5608,2.7472
50.0,1.0,7850,1,29.736873883707286,522.818690354519,1.5642,2.7074
50.0,1.0,7850,2,25.33040099192683,644.6435041023573,1.491,3.0496
50.0,1.0,7850,1,28.969816657069046,742.265120206373,1.5543,1.9069
50.0,1.0,7850,1,22.476569624840856,634.245228874159,1.5824,2.2317
50.0,1.0,7850,1,31.318685060515325,675.6886280662967,1.5438,2.0948
50.0,1.0,7850,0,21.21307393052245,539.290083869774,1.668,1.4581
50.0,1.0,7850,1,22.008692081786926,639.4267518543844,1.5537,2.2136
50.0,1.0,7850,2,31.044955304234392,499.9178515785891,1.4727,3.9325
50.0,1.0,7850,0,22.80523034091869,673.5417954778995,1.6673,1.1675
50.0,1.0,7850,2,26.347074780532903,697.0400601702048,1.4699,2.8204
50.0,1.0,7850,1,18.596501025340075,471.20504718282655,1.5477,3.0039
50.0,1.0,7850,2,24.535686904840126,350.00943323734055,1.501,5.6167
50.0,1.0,7850,2,19.961478478843233,724.5314574518633,1.4996,2.7134
50.0,1.0,7850,0,23.628966091367467,579.0527182427458,1.6716,1.358
